78,"Kamloops Airport","Kamloops","Canada",50.7022,-120.444
79,"Waterloo Airport","Waterloo","Canada",43.4608,-80.3786
80,"Schefferville Airport","Schefferville","Canada",54.8053,-66.8053
81,"Kindersley Airport","Kindersley","Canada",51.5175,-109.181
82,"Buttonville Municipal Airport","Toronto","Canada",43.8622,-79.37
83,"Chapleau Airport","Chapleau","Canada",47.82,-83.3467
84,"Meadow Lake Airport","Meadow Lake","Canada",54.1253,-108.523
85,"Lloydminster Airport","Lloydminster","Canada",53.3092,-110.073
86,"Alert Airport","Alert","Canada",82.5178,-62.2806
87,"Kelowna International Airport","Kelowna","Canada",49.9561,-119.378
88,"Mayo Airport","Mayo","Canada",63.6164,-135.868
89,"Moose Jaw Air Vice Marshal C. M. McEwen Airport","Moose Jaw","Canada",50.3303,-105.559
90,"Fort McMurray Airport","Fort Mcmurray","Canada",56.6533,-111.222
91,"Moosonee Airport","Moosonee","Canada",51.2911,-80.6078
92,"Maniwaki Airport","Maniwaki","Canada",46.2728,-75.9906
93,"Montreal International (Mirabel) Airport","Montreal","Canada",45.6795,-74.0387
94,"Natashquan Airport","Natashquan","Canada",50.19,-61.7892
95,"Ottawa / Gatineau Airport","Gatineau","Canada",45.5217,-75.5636
96,"Matagami Airport","Matagami","Canada",49.7617,-77.8028
97,"Old Crow Airport","Old Crow","Canada",67.5706,-139.839
98,"CFB Cold Lake","Cold Lake","Canada",54.405,-110.279
99,"High Level Airport","High Level","Canada",58.6214,-117.165
100,"Ottawa Macdonald-Cartier International Airport","Ottawa","Canada",45.3225,-75.6692
101,"Prince Albert Glass Field","Prince Albert","Canada",53.2142,-105.673
102,"Peace River Airport","Peace River","Canada",56.2269,-117.447
103,"Southport Airport","Portage-la-prairie","Canada",49.9031,-98.2738
104,"Pitt Meadows Airport","Pitt Meadows","Canada",49.2161,-122.71
105,"Pickle Lake Airport","Pickle Lake","Canada",51.4464,-90.2142
106,"Port Menier Airport","Port Menier","Canada",49.8364,-64.2886
107,"Peterborough Airport","Peterborough","Canada",44.23,-78.3633
108,"Prince Rupert Airport","Prince Pupert","Canada",54.2861,-130.445
109,"Fort Chipewyan Airport","Fort Chipewyan","Canada",58.7672,-111.117
110,"Muskoka Airport","Muskoka","Canada",44.9747,-79.3033
111,"Quebec Jean Lesage International Airport","Quebec","Canada",46.7911,-71.3933
112,"Red Deer Regional Airport","Red Deer Industrial","Canada",52.1822,-113.894
113,"Windsor Airport","Windsor","Canada",42.2756,-82.9556
114,"Watson Lake Airport","Watson Lake","Canada",60.1164,-128.822
115,"Kenora Airport","Kenora","Canada",49.7883,-94.3631
116,"Lethbridge County Airport","Lethbridge","Canada",49.6303,-112.8
117,"Greater Moncton International Airport","Moncton","Canada",46.1122,-64.6786
119,"Comox Airport","Comox","Canada",49.7108,-124.887
120,"Regina International Airport","Regina","Canada",50.4319,-104.666
121,"Thunder Bay Airport","Thunder Bay","Canada",48.3719,-89.3239
122,"Grande Prairie Airport","Grande Prairie","Canada",55.1797,-118.885
123,"Yorkton Municipal Airport","Yorkton","Canada",51.2647,-102.462
124,"North Battleford Airport","North Battleford","Canada",52.7692,-108.244
125,"Gander International Airport","Gander","Canada",48.9369,-54.5681
126,"Sydney / J.A. Douglas McCurdy Airport","Sydney","Canada",46.1614,-60.0478
127,"Quesnel Airport","Quesnel","Canada",53.0261,-122.51
128,"Resolute Bay Airport","Resolute","Canada",74.7169,-94.9694
129,"Rivière-du-Loup Airport","Riviere Du Loup","Canada",47.7644,-69.5847
130,"Roberval Airport","Roberval","Canada",48.52,-72.2656
131,"Rocky Mountain House Airport","Rocky Mountain House","Canada",52.4297,-114.904
132,"Rankin Inlet Airport","Rankin Inlet","Canada",62.8114,-92.1158
133,"Sudbury Airport","Sudbury","Canada",46.625,-80.7989
134,"Sherbrooke Airport","Sherbrooke","Canada",45.4386,-71.6914
135,"Saint John Airport","St. John","Canada",45.3161,-65.8903
136,"Fort Smith Airport","Fort Smith","Canada",60.0203,-111.962
137,"Nanisivik Airport","Nanisivik","Canada",72.9822,-84.6136
138,"Summerside Airport","Summerside","Canada",46.4406,-63.8336
139,"Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport","Sachs Harbour","Canada",71.9939,-125.243
140,"Cape Dorset Airport","Cape Dorset","Canada",64.23,-76.5267
141,"Thompson Airport","Thompson","Canada",55.8011,-97.8642
142,"CFB Trenton","Trenton","Canada",44.1189,-77.5281
143,"Timmins/Victor M. Power","Timmins","Canada",48.5697,-81.3767
144,"Billy Bishop Toronto City Centre Airport","Toronto","Canada",43.6275,-79.3962
145,"Tuktoyaktuk Airport","Tuktoyaktuk","Canada",69.4333,-133.026
146,"Montreal / Pierre Elliott Trudeau International Airport","Montreal","Canada",45.4706,-73.7408
147,"Repulse Bay Airport","Repulse Bay","Canada",66.5214,-86.2247
148,"Hall Beach Airport","Hall Beach","Canada",68.7761,-81.2425
149,"Rouyn Noranda Airport","Rouyn","Canada",48.2061,-78.8356
150,"La Ronge Airport","La Ronge","Canada",55.1514,-105.262
151,"Vermilion Airport","Vermillion","Canada",53.3558,-110.824
152,"Qikiqtarjuaq Airport","Broughton Island","Canada",67.5458,-64.0314
153,"Val-d'Or Airport","Val D'or","Canada",48.0533,-77.7828
154,"Kuujjuaq Airport","Quujjuaq","Canada",58.0961,-68.4269
155,"Norman Wells Airport","Norman Wells","Canada",65.2816,-126.798
156,"Vancouver International Airport","Vancouver","Canada",49.1939,-123.184
157,"Buffalo Narrows Airport","Buffalo Narrows","Canada",55.8419,-108.418
158,"Wiarton Airport","Wiarton","Canada",44.7458,-81.1072
159,"Petawawa Airport","Petawawa","Canada",45.9522,-77.3192
160,"Winnipeg / James Armstrong Richardson International Airport","Winnipeg","Canada",49.91,-97.2399
161,"Wabush Airport","Wabush","Canada",52.9219,-66.8644
162,"Williams Lake Airport","Williams Lake","Canada",52.1831,-122.054
163,"Wrigley Airport","Wrigley","Canada",63.2094,-123.437
164,"Cranbrook/Canadian Rockies International Airport","Cranbrook","Canada",49.6108,-115.782
165,"Edmonton City Centre (Blatchford Field) Airport","Edmonton","Canada",53.5725,-113.521
166,"Saskatoon John G. Diefenbaker International Airport","Saskatoon","Canada",52.1708,-106.7
167,"Medicine Hat Airport","Medicine Hat","Canada",50.0189,-110.721
168,"Fort St John Airport","Fort Saint John","Canada",56.2381,-120.74
169,"Sioux Lookout Airport","Sioux Lookout","Canada",50.1139,-91.9053
170,"Pangnirtung Airport","Pangnirtung","Canada",66.145,-65.7136
171,"Earlton (Timiskaming Regional) Airport","Earlton","Canada",47.6974,-79.8473
172,"Prince George Airport","Prince George","Canada",53.8894,-122.679
173,"Northwest Regional Airport Terrace-Kitimat","Terrace","Canada",54.4685,-128.576
174,"London Airport","London","Canada",43.0356,-81.1539
175,"Abbotsford Airport","Abbotsford","Canada",49.0253,-122.361
176,"Whitehorse / Erik Nielsen International Airport","Whitehorse","Canada",60.7096,-135.067
177,"North Bay Jack Garland Airport","North Bay","Canada",46.3636,-79.4228
178,"Calgary International Airport","Calgary","Canada",51.1139,-114.02
179,"Smithers Airport","Smithers","Canada",54.8247,-127.183
180,"Fort Nelson Airport","Fort Nelson","Canada",58.8364,-122.597
181,"Penticton Airport","Penticton","Canada",49.4631,-119.602
182,"Charlottetown Airport","Charlottetown","Canada",46.29,-63.1211
183,"Taloyoak Airport","Spence Bay","Canada",69.5467,-93.5767
184,"Victoria International Airport","Victoria","Canada",48.6469,-123.426
185,"Lynn Lake Airport","Lynn Lake","Canada",56.8639,-101.076
186,"Swift Current Airport","Swift Current","Canada",50.2919,-107.691
187,"Churchill Airport","Churchill","Canada",58.7392,-94.065
188,"Goose Bay Airport","Goose Bay","Canada",53.3192,-60.4258
189,"St. John's International Airport","St. John's","Canada",47.6186,-52.7519
190,"Kapuskasing Airport","Kapuskasing","Canada",49.4139,-82.4675
191,"Armstrong Airport","Armstrong","Canada",50.2903,-88.9097
192,"Mont Joli Airport","Mont Joli","Canada",48.6086,-68.2081
193,"Lester B. Pearson International Airport","Toronto","Canada",43.6772,-79.6306
194,"Downsview Airport","Toronto","Canada",43.7425,-79.4656
195,"Gore Bay Manitoulin Airport","Gore Bay","Canada",45.8853,-82.5678
196,"Yellowknife Airport","Yellowknife","Canada",62.4628,-114.44
197,"Slave Lake Airport","Slave Lake","Canada",55.2931,-114.777
198,"Sandspit Airport","Sandspit","Canada",53.2543,-131.814
199,"Chris Hadfield Airport","Sarnia","Canada",42.9994,-82.3089
200,"Port Hardy Airport","Port Hardy","Canada",50.6806,-127.367
201,"Whitecourt Airport","Whitecourt","Canada",54.1439,-115.787
202,"Sept-Îles Airport","Sept-iles","Canada",50.2233,-66.2656
203,"Teslin Airport","Teslin","Canada",60.1728,-132.743
204,"CFB Greenwood","Greenwood","Canada",44.9844,-64.9169
205,"Faro Airport","Faro","Canada",62.2075,-133.376
206,"Fort Mcpherson Airport","Fort Mcpherson","Canada",67.4075,-134.861
207,"Blida Airport","Blida","Algeria",36.5036,2.81417
208,"Bou Saada Airport","Bou Saada","Algeria",35.3325,4.20639
209,"Soummam Airport","Bejaja","Algeria",36.712,5.06992
210,"Houari Boumediene Airport","Algier","Algeria",36.691,3.21541
211,"Djanet Inedbirene Airport","Djanet","Algeria",24.2928,9.45244
212,"Boufarik Airport","Boufarik","Algeria",36.5458,2.87611
213,"Reggane Airport","Reggan","Algeria",26.7101,0.285647
214,"Illizi Takhamalt Airport","Illizi","Algeria",26.7235,8.62265
215,"Ain Oussera Airport","Ain Oussera","Algeria",35.5254,2.87871
216,"Aguenar – Hadj Bey Akhamok Airport","Tamanrasset","Algeria",22.8115,5.45108
217,"Jijel Ferhat Abbas Airport","Jijel","Algeria",36.7951,5.87361
218,"Mecheria Airport","Mecheria","Algeria",33.5359,-0.242353
219,"Relizane Airport","Relizane","Algeria",35.7522,0.626272
220,"Rabah Bitat Airport","Annaba","Algeria",36.8222,7.80917
221,"Mohamed Boudiaf International Airport","Constantine","Algeria",36.276,6.62039
222,"Cheikh Larbi Tébessi Airport","Tebessa","Algeria",35.4316,8.12072
224,"Hassi R'Mel Airport","Tilrempt","Algeria",32.9304,3.31154
225,"Bou Chekif Airport","Tiaret","Algeria",35.3411,1.46315
226,"Bou Sfer Airport","Bou Sfer","Algeria",35.7354,-0.805389
227,"Tindouf Airport","Tindouf","Algeria",27.7004,-8.1671
228,"Ech Cheliff Airport","Ech-cheliff","Algeria",36.2127,1.33177
229,"Tafaraoui Airport","Oran","Algeria",35.5424,-0.532278
230,"Zenata – Messali El Hadj Airport","Tlemcen","Algeria",35.0167,-1.45
231,"Es Senia Airport","Oran","Algeria",35.6239,-0.621183
232,"Sidi Bel Abbes Airport","Sidi Bel Abbes","Algeria",35.1718,-0.593275
233,"Ghriss Airport","Ghriss","Algeria",35.2077,0.147142
234,"Touat Cheikh Sidi Mohamed Belkebir Airport","Adrar","Algeria",27.8376,-0.186414
235,"Biskra Airport","Biskra","Algeria",34.7933,5.73823
236,"El Golea Airport","El Golea","Algeria",30.5713,2.85959
237,"Noumérat - Moufdi Zakaria Airport","Ghardaia","Algeria",32.3841,3.79411
238,"Oued Irara Airport","Hassi Messaoud","Algeria",31.673,6.14044
239,"In Salah Airport","In Salah","Algeria",27.251,2.51202
240,"Touggourt Sidi Madhi Airport","Touggourt","Algeria",33.0678,6.08867
241,"Laghouat Airport","Laghouat","Algeria",33.7644,2.92834
242,"Timimoun Airport","Timimoun","Algeria",29.2371,0.276033
243,"Ain el Beida Airport","Ouargla","Algeria",31.9172,5.41278
244,"In Aménas Airport","Zarzaitine","Algeria",28.0515,9.64291
245,"Cadjehoun Airport","Cotonou","Benin",6.35723,2.38435
246,"Ouagadougou Airport","Ouagadougou","Burkina Faso",12.3532,-1.51242
247,"Bobo Dioulasso Airport","Bobo-dioulasso","Burkina Faso",11.1601,-4.33097
248,"Kotoka International Airport","Accra","Ghana",5.60519,-0.166786
249,"Tamale Airport","Tamale","Ghana",9.55719,-0.863214
250,"Wa Airport","Wa","Ghana",10.0827,-2.50769
251,"Sunyani Airport","Sunyani","Ghana",7.36183,-2.32876
252,"Takoradi Airport","Takoradi","Ghana",4.89606,-1.77476
253,"Port Bouet Airport","Abidjan","Cote d'Ivoire",5.26139,-3.92629
254,"Bouaké Airport","Bouake","Cote d'Ivoire",7.7388,-5.07367
255,"Daloa Airport","Daloa","Cote d'Ivoire",6.79281,-6.47319
256,"Korhogo Airport","Korhogo","Cote d'Ivoire",9.38718,-5.55666
257,"Man Airport","Man","Cote d'Ivoire",7.27207,-7.58736
258,"San Pedro Airport","San Pedro","Cote d'Ivoire",4.74672,-6.66082
259,"Yamoussoukro Airport","Yamoussoukro","Cote d'Ivoire",6.90317,-5.36558
260,"Nnamdi Azikiwe International Airport","Abuja","Nigeria",9.00679,7.26317
261,"Akure Airport","Akure","Nigeria",7.24674,5.30101
262,"Benin Airport","Benin","Nigeria",6.31698,5.5995
263,"Margaret Ekpo International Airport","Calabar","Nigeria",4.97602,8.3472
264,"Akanu Ibiam International Airport","Enugu","Nigeria",6.47427,7.56196
265,"Gusau Airport","Gusau","Nigeria",12.1717,6.69611
266,"Ibadan Airport","Ibadan","Nigeria",7.36246,3.97833
267,"Ilorin International Airport","Ilorin","Nigeria",8.44021,4.49392
268,"Yakubu Gowon Airport","Jos","Nigeria",9.63983,8.86905
269,"Kaduna Airport","Kaduna","Nigeria",10.696,7.32011
270,"Mallam Aminu International Airport","Kano","Nigeria",12.0476,8.52462
271,"Maiduguri International Airport","Maiduguri","Nigeria",11.8553,13.0809
272,"Makurdi Airport","Makurdi","Nigeria",7.70388,8.61394
273,"Murtala Muhammed International Airport","Lagos","Nigeria",6.57737,3.32116
274,"Minna Airport","Minna","Nigeria",9.65217,6.46226
275,"Port Harcourt International Airport","Port Hartcourt","Nigeria",5.01549,6.94959
276,"Sadiq Abubakar III International Airport","Sokoto","Nigeria",12.9163,5.20719
277,"Yola Airport","Yola","Nigeria",9.25755,12.4304
278,"Zaria Airport","Zaria","Nigeria",11.1302,7.68581
279,"Maradi Airport","Maradi","Niger",13.5025,7.12675
280,"Diori Hamani International Airport","Niamey","Niger",13.4815,2.18361
281,"Tahoua Airport","Tahoua","Niger",14.8757,5.26536
282,"Mano Dayak International Airport","Agadez","Niger",16.966,8.00011
283,"Dirkou Airport","Dirkou","Niger",18.9687,12.8687
284,"Diffa Airport","Diffa","Niger",13.3729,12.6267
285,"Zinder Airport","Zinder","Niger",13.779,8.98376
286,"Monastir Habib Bourguiba International Airport","Monastir","Tunisia",35.7581,10.7547
287,"Tunis Carthage International Airport","Tunis","Tunisia",36.851,10.2272
