2965,2990,1506.83
2966,2990,1040.44
2966,2962,448.165
2968,2990,770.509
2968,4078,1338.63
4029,2990,715.649
4029,6969,892.383
4029,6160,951.432
6156,2952,1171.88
6156,2990,1008.25
2922,6969,1685.43
2952,6156,1171.88
2990,2965,1506.83
2990,2966,1040.44
2990,2968,770.509
2990,4029,715.649
2990,6156,1008.25
2990,2948,1216.84
2990,2975,723.523
2948,2990,1216.84
2948,6969,1372.89
2948,6160,1464.06
2962,2966,448.165
6969,4029,892.383
6969,2922,1685.43
6969,2948,1372.89
6969,2975,554.703
2972,2975,1012.6
2972,6160,1557.17
4364,2975,1324.61
4078,2968,1338.63
4078,2975,1370.3
2975,2990,723.523
2975,6969,554.703
2975,2972,1012.6
2975,4364,1324.61
2975,4078,1370.3
6160,4029,951.432
6160,2948,1464.06
6160,2972,1557.17
2936,2937,488.34
2936,4078,1199.36
2968,4078,1338.63
2935,2937,608.643
2937,2936,488.34
2937,2935,608.643
2937,8944,882.187
2937,4078,1458.82
2937,6924,517.486
2937,9026,1134.54
2937,2923,1860.02
2925,4078,1967.49
8944,2937,882.187
4078,2936,1199.36
4078,2968,1338.63
4078,2937,1458.82
6924,2937,517.486
9026,2937,1134.54
2923,2937,1860.02
2786,2789,339.981
2812,2789,585.908
2812,2808,310.935
6067,2789,258.156
2801,2781,529.551
2801,2806,454.858
2789,2786,339.981
2789,2812,585.908
2789,6067,258.156
2789,2781,491.343
2789,2806,618.403
2781,2801,529.551
2781,2789,491.343
2781,2806,287.291
2808,2812,310.935
2806,2801,454.858
2806,2789,618.403
2806,2781,287.291
253,247,657.416
253,246,831.929
248,246,764.744
1044,253,921.397
1044,1084,1059.57
1044,246,699.275
247,253,657.416
247,246,334.279
245,298,126.688
245,246,791.912
1084,1044,1059.57
1084,246,1747.04
298,246,751.994
280,246,419.757
246,253,831.929
246,248,764.744
246,1044,699.275
246,247,334.279
246,245,791.912
246,1084,1747.04
246,298,751.994
246,280,419.757
2709,2673,993.937
2709,2688,712.226
2715,2673,743.838
2673,2709,993.937
2673,2715,743.838
2673,6045,1090.79
2673,2688,282.217
2670,2688,156.865
6045,2673,1090.79
2688,2709,712.226
2688,2673,282.217
2688,2670,156.865
1506,1678,1064.74
1264,1678,770.97
490,1678,922.761
1665,1054,2771.11
1197,1678,2505.17
1054,1678,3001.18
4197,1678,3337.44
1056,1665,2832.34
1678,1506,1064.74
1678,1264,770.97
1678,490,922.761
1678,1197,2505.17
1678,1054,3001.18
1678,4197,3337.44
730,719,118.859
737,715,843.976
737,709,444.478
737,688,306.205
737,718,377.78
737,5595,259.147
737,719,546.023
737,442,122.186
737,722,421.52
737,448,292.327
737,664,436.158
737,746,222.555
737,729,550.757
737,711,355.491
715,737,843.976
715,718,475.835
709,737,444.478
709,688,140.392
709,711,119.1
5599,729,159.004
688,737,306.205
688,709,140.392
435,448,260.466
718,737,377.78
718,715,475.835
5595,737,259.147
719,730,118.859
719,737,546.023
442,737,122.186
442,460,137.289
722,737,421.52
644,711,414.06
448,737,292.327
448,435,260.466
460,442,137.289
664,737,436.158
746,737,222.555
729,737,550.757
729,5599,159.004
711,737,355.491
711,644,414.06
3531,7162,91.4883
7162,7161,28.384
6019,2397,668.587
4200,2397,785.664
2399,2397,887.655
2400,2397,782.304
6024,2397,450.106
2425,2397,626.574
8076,2397,6929.06
2402,2397,1039.92
2430,2397,347.176
4203,2397,329.386
2397,6019,668.587
2397,4200,785.664
2397,2399,887.655
2397,2400,782.304
2397,6024,450.106
2397,2425,626.574
2397,8076,6929.06
2397,2402,1039.92
2397,2430,347.176
2397,4203,329.386
2397,2426,304.605
2397,4204,768.106
2397,2433,584.198
2397,6026,374.108
2397,6016,717.16
2397,6021,356.799
2397,2404,851.151
2426,2397,304.605
4204,2397,768.106
2433,2397,584.198
6026,2397,374.108
6016,2397,717.16
6021,2397,356.799
2404,2397,851.151
7376,4214,340.901
7373,2531,525.647
7373,2621,731.712
2531,7373,525.647
2531,7367,938.389
2531,2613,585.885
2535,2564,733.499
2548,2562,744.525
2548,7367,422.87
2538,7380,194.512
7380,2538,194.512
7380,2564,877.074
2560,2613,502.417
2564,2535,733.499
2564,7380,877.074
2564,2613,288.698
2564,2635,436.377
2564,2633,537.756
2564,6039,1120.28
2562,2548,744.525
2562,4214,711.184
2562,2613,523.384
2562,2633,271.65
7367,2531,938.389
7367,2548,422.87
2528,2613,423.342
4214,7376,340.901
4214,2562,711.184
2613,2531,585.885
2613,2560,502.417
2613,2564,288.698
2613,2562,523.384
2613,2528,423.342
2613,2619,172.913
2613,2633,254.844
2619,2613,172.913
2621,7373,731.712
2621,6039,349.884
2635,2564,436.377
2635,2633,101.679
2633,2564,537.756
2633,2562,271.65
2633,2613,254.844
2633,2635,101.679
6039,2564,1120.28
6039,2621,349.884
